file,name,display_name,sensor_class,pixel_pitch_um,fill_factor,bit_depth,full_well_e,K_e_per_DN,sigma_d_e,black_level_DN,prnu_std_fraction,dsnu_std_e,emva_param_method
canon_eos_20d.yaml,canon_eos_20d,Canon EOS 20D,,6.4,0.45,12,45000,1.2,7.5,256,0.015,1.2,manual_or_default
canon_eos_5dsr.yaml,canon_eos_5dsr,Canon EOS 5DsR,,4.14,0.5,14,65000,1.4,5.5,512,0.012,0.8,manual_or_default
canon_eos_80d.yaml,canon_eos_80d,Canon EOS 80D,,3.75,0.55,14,50000,1.7,3.5,512,0.01,0.6,manual_or_default
canon_eos_850d.yaml,canon_eos_850d,Canon EOS 850D,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
canon_eos_90d.yaml,canon_eos_90d,Canon EOS 90D,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
canon_eos_m200.yaml,canon_eos_m200,Canon EOS M200,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
canon_eos_m6mii.yaml,canon_eos_m6mii,Canon EOS M6MII,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
canon_eos_r.yaml,canon_eos_r,Canon EOS_R,,5.36,0.6,14,60000,1.8,3.2,512,0.009,0.5,manual_or_default
canon_powershot_g5_x.yaml,canon_powershot_g5_x,Canon Powershot G5 X,compact,2.4,0.7,12,5760,1.406,2.2,256,0.015,0.22,heuristic_scaling_rules_v1
default.yaml,default,,,1.4,0.95,10,4800,4.77,2.6,16,0.01,0.3,manual_or_default
fujifilm_gfx_50r.yaml,fujifilm_gfx_50r,Fujifilm GFX 50R,,5.3,0.65,14,80000,2.0,2.5,512,0.008,0.4,manual_or_default
fujifilm_x100v.yaml,fujifilm_x100v,Fujifilm X100V,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
fujifilm_x_a7.yaml,fujifilm_x_a7,Fujifilm X-A7,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
fujifilm_x_pro2.yaml,fujifilm_x_pro2,Fujifilm X-Pro2,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
fujifilm_x_t3.yaml,fujifilm_x_t3,Fujifilm X-T3,apsc,3.9,0.58,14,15210,0.928,3.0,512,0.01,0.3,heuristic_scaling_rules_v1
fujifilm_x_t4.yaml,fujifilm_x_t4,Fujifilm X-T4,,3.76,0.6,14,45000,1.8,2.5,512,0.009,0.5,manual_or_default
google_pixel_3.yaml,google_pixel_3,Google Pixel 3,,1.4,0.78,12,12000,0.35,1.5,64,0.018,0.25,manual_or_default
huawei_mate_20_pro.yaml,huawei_mate_20_pro,Huawei Mate 20 Pro,phone,1.4,0.76,12,1960,0.479,1.6,64,0.018,0.16,heuristic_scaling_rules_v1
iphone_8.yaml,iphone_8,iPhone 8,phone,1.4,0.76,12,1960,0.479,1.6,64,0.018,0.16,heuristic_scaling_rules_v1
iphone_x_tele.yaml,iphone_x_tele,iPhone X tele,phone,1.4,0.76,12,1960,0.479,1.6,64,0.018,0.16,heuristic_scaling_rules_v1
