# Direct-normal solar SPD, smooth ASTM G-173 AM1.5 approximation, normalized to 1 at 560 nm
# wavelength_nm,value
380,0.522968
381,0.528613
382,0.534243
383,0.539856
384,0.545451
385,0.551028
386,0.556587
387,0.562125
388,0.567644
389,0.573141
390,0.578616
391,0.58407
392,0.5895
393,0.594906
394,0.600288
395,0.605645
396,0.610976
397,0.616282
398,0.62156
399,0.626811
400,0.632035
401,0.63723
402,0.642395
403,0.647532
404,0.652639
405,0.657715
406,0.66276
407,0.667774
408,0.672756
409,0.677705
410,0.682622
411,0.687506
412,0.692357
413,0.697173
414,0.701955
415,0.706703
416,0.711416
417,0.716093
418,0.720734
419,0.72534
420,0.729909
421,0.734442
422,0.738937
423,0.743396
424,0.747817
425,0.7522
426,0.756546
427,0.760853
428,0.765122
429,0.769352
430,0.773543
431,0.777695
432,0.781808
433,0.785882
434,0.789916
435,0.79391
436,0.797865
437,0.801779
438,0.805653
439,0.809487
440,0.813281
441,0.817034
442,0.820746
443,0.824418
444,0.828049
445,0.831639
446,0.835188
447,0.838697
448,0.842164
449,0.84559
450,0.848975
451,0.852319
452,0.855622
453,0.858884
454,0.862104
455,0.865284
456,0.868422
457,0.871519
458,0.874575
459,0.87759
460,0.880564
461,0.883497
462,0.886389
463,0.889241
464,0.892051
465,0.894821
466,0.89755
467,0.900239
468,0.902887
469,0.905494
470,0.908062
471,0.910589
472,0.913076
473,0.915524
474,0.917931
475,0.920299
476,0.922627
477,0.924916
478,0.927166
479,0.929376
480,0.931548
481,0.933681
482,0.935775
483,0.93783
484,0.939848
485,0.941827
486,0.943769
487,0.945673
488,0.947539
489,0.949368
490,0.95116
491,0.952915
492,0.954633
493,0.956315
494,0.957961
495,0.959571
496,0.961145
497,0.962683
498,0.964186
499,0.965654
500,0.967087
501,0.968486
502,0.96985
503,0.97118
504,0.972476
505,0.973739
506,0.974969
507,0.976165
508,0.977329
509,0.97846
510,0.979559
511,0.980626
512,0.981662
513,0.982666
514,0.983639
515,0.984581
516,0.985493
517,0.986374
518,0.987226
519,0.988048
520,0.988841
521,0.989604
522,0.990339
523,0.991046
524,0.991724
525,0.992374
526,0.992997
527,0.993593
528,0.994162
529,0.994704
530,0.99522
531,0.99571
532,0.996175
533,0.996614
534,0.997027
535,0.997417
536,0.997781
537,0.998122
538,0.998439
539,0.998732
540,0.999002
541,0.999249
542,0.999474
543,0.999676
544,0.999856
545,1.00002
