# asphalt_aged reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.1
385,0.10075
390,0.1015
395,0.10225
400,0.103
405,0.10375
410,0.1045
415,0.10525
420,0.106
425,0.10675
430,0.1075
435,0.10825
440,0.109
445,0.10975
450,0.1105
455,0.11125
460,0.112
465,0.11275
470,0.1135
475,0.11425
480,0.115
485,0.11575
490,0.1165
495,0.11725
500,0.118
505,0.11875
510,0.1195
515,0.12025
520,0.121
525,0.12175
530,0.1225
535,0.12325
540,0.124
545,0.12475
550,0.1255
555,0.12625
560,0.127
565,0.12775
570,0.1285
575,0.12925
580,0.13
585,0.13075
590,0.1315
595,0.13225
600,0.133
605,0.13375
610,0.1345
615,0.13525
620,0.136
625,0.13675
630,0.1375
635,0.13825
640,0.139
645,0.13975
650,0.1405
655,0.14125
660,0.142
665,0.14275
670,0.1435
675,0.14425
680,0.145
685,0.14575
690,0.1465
695,0.14725
700,0.148
705,0.14875
710,0.1495
715,0.15025
720,0.151
725,0.15175
730,0.1525
735,0.15325
740,0.154
745,0.15475
750,0.1555
755,0.15625
760,0.157
765,0.15775
770,0.1585
775,0.15925
780,0.16
