# asphalt_new reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.045
385,0.0451875
390,0.045375
395,0.0455625
400,0.04575
405,0.0459375
410,0.046125
415,0.0463125
420,0.0465
425,0.0466875
430,0.046875
435,0.0470625
440,0.04725
445,0.0474375
450,0.047625
455,0.0478125
460,0.048
465,0.0481875
470,0.048375
475,0.0485625
480,0.04875
485,0.0489375
490,0.049125
495,0.0493125
500,0.0495
505,0.0496875
510,0.049875
515,0.0500625
520,0.05025
525,0.0504375
530,0.050625
535,0.0508125
540,0.051
545,0.0511875
550,0.051375
555,0.0515625
560,0.05175
565,0.0519375
570,0.052125
575,0.0523125
580,0.0525
585,0.0526875
590,0.052875
595,0.0530625
600,0.05325
605,0.0534375
610,0.053625
615,0.0538125
620,0.054
625,0.0541875
630,0.054375
635,0.0545625
640,0.05475
645,0.0549375
650,0.055125
655,0.0553125
660,0.0555
665,0.0556875
670,0.055875
675,0.0560625
680,0.05625
685,0.0564375
690,0.056625
695,0.0568125
700,0.057
705,0.0571875
710,0.057375
715,0.0575625
720,0.05775
725,0.0579375
730,0.058125
735,0.0583125
740,0.0585
745,0.0586875
750,0.058875
755,0.0590625
760,0.05925
765,0.0594375
770,0.059625
775,0.0598125
780,0.06
