# car_glass_tint reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0654134
385,0.066373
390,0.0674508
395,0.0686506
400,0.0699741
405,0.0714205
410,0.0729861
415,0.0746642
420,0.0764445
425,0.0783133
430,0.0802534
435,0.082244
440,0.0842612
445,0.0862782
450,0.0882659
455,0.0901936
460,0.0920295
465,0.0937419
470,0.0952999
475,0.0966742
480,0.0978384
485,0.0987693
490,0.0994483
495,0.0998614
500,0.1
505,0.0998614
510,0.0994483
515,0.0987693
520,0.0978384
525,0.0966742
530,0.0952999
535,0.0937419
540,0.0920295
545,0.0901936
550,0.0882659
555,0.0862782
560,0.0842612
565,0.082244
570,0.0802534
575,0.0783133
580,0.0764445
585,0.0746642
590,0.0729861
595,0.0714205
600,0.0699741
605,0.0686506
610,0.0674508
615,0.066373
620,0.0654134
625,0.0645665
630,0.0638254
635,0.0631824
640,0.0626291
645,0.062157
650,0.0617575
655,0.061422
660,0.0611426
665,0.0609118
670,0.0607225
675,0.0605686
680,0.0604444
685,0.0603449
690,0.0602658
695,0.0602034
700,0.0601546
705,0.0601167
710,0.0600875
715,0.0600651
720,0.0600482
725,0.0600354
730,0.0600258
735,0.0600187
740,0.0600134
745,0.0600096
750,0.0600068
755,0.0600048
760,0.0600033
765,0.0600023
770,0.0600016
775,0.0600011
780,0.0600007
