# car_paint_black reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.04
385,0.04
390,0.04
395,0.04
400,0.04
405,0.04
410,0.04
415,0.04
420,0.04
425,0.04
430,0.04
435,0.04
440,0.04
445,0.04
450,0.04
455,0.04
460,0.04
465,0.04
470,0.04
475,0.04
480,0.04
485,0.04
490,0.04
495,0.04
500,0.04
505,0.04
510,0.04
515,0.04
520,0.04
525,0.04
530,0.04
535,0.04
540,0.04
545,0.04
550,0.04
555,0.04
560,0.04
565,0.04
570,0.04
575,0.04
580,0.04
585,0.04
590,0.04
595,0.04
600,0.04
605,0.04
610,0.04
615,0.04
620,0.04
625,0.04
630,0.04
635,0.04
640,0.04
645,0.04
650,0.04
655,0.04
660,0.04
665,0.04
670,0.04
675,0.04
680,0.04
685,0.04
690,0.04
695,0.04
700,0.04
705,0.04
710,0.04
715,0.04
720,0.04
725,0.04
730,0.04
735,0.04
740,0.04
745,0.04
750,0.04
755,0.04
760,0.04
765,0.04
770,0.04
775,0.04
780,0.04
