# car_paint_blue reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0844161
385,0.0957957
390,0.109892
395,0.126983
400,0.147252
405,0.17075
410,0.197351
415,0.226727
420,0.258321
425,0.291348
430,0.324812
435,0.357545
440,0.38827
445,0.415678
450,0.438522
455,0.455708
460,0.466382
465,0.470002
470,0.466383
475,0.45571
480,0.438525
485,0.415683
490,0.388276
495,0.357553
500,0.324822
505,0.29136
510,0.258335
515,0.226745
520,0.197373
525,0.170777
530,0.147285
535,0.127023
540,0.109942
545,0.0958564
550,0.0844902
555,0.0755108
560,0.068564
565,0.0633011
570,0.0593971
575,0.0565638
580,0.054555
585,0.053168
590,0.0522413
595,0.0516506
600,0.0513027
605,0.0511305
610,0.0510873
615,0.0511425
620,0.0512774
625,0.0514821
630,0.0517535
635,0.0520931
640,0.0525056
645,0.0529982
650,0.0535791
655,0.0542571
660,0.0550403
665,0.0559349
670,0.0569445
675,0.0580683
680,0.0593008
685,0.0606303
690,0.0620394
695,0.063505
700,0.065
705,0.066495
710,0.0679606
715,0.0693697
720,0.0706992
725,0.0719318
730,0.0730557
735,0.0740655
740,0.0749606
745,0.0757445
750,0.0764239
755,0.0770075
760,0.0775048
765,0.0779258
770,0.0782803
775,0.0785772
780,0.078825
