# car_paint_red reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0500001
385,0.0500001
390,0.0500002
395,0.0500003
400,0.0500004
405,0.0500005
410,0.0500008
415,0.0500011
420,0.0500016
425,0.0500022
430,0.0500032
435,0.0500046
440,0.0500065
445,0.0500093
450,0.0500133
455,0.0500191
460,0.0500272
465,0.0500389
470,0.0500556
475,0.0500795
480,0.0501136
485,0.0501624
490,0.0502321
495,0.0503317
500,0.0504739
505,0.0506771
510,0.0509673
515,0.0513815
520,0.0519726
525,0.0528153
530,0.0540157
535,0.055723
540,0.0581462
545,0.0615753
550,0.0664081
555,0.073179
560,0.082588
565,0.0955149
570,0.113
575,0.136159
580,0.165993
585,0.203079
590,0.247192
595,0.296991
600,0.35
605,0.403009
610,0.452808
615,0.496921
620,0.534007
625,0.563841
630,0.587
635,0.604485
640,0.617412
645,0.626821
650,0.633592
655,0.638425
660,0.641854
665,0.644277
670,0.645984
675,0.647185
680,0.648027
685,0.648618
690,0.649033
695,0.649323
700,0.649526
705,0.649668
710,0.649768
715,0.649838
720,0.649886
725,0.64992
730,0.649944
735,0.649961
740,0.649973
745,0.649981
750,0.649987
755,0.649991
760,0.649993
765,0.649995
770,0.649997
775,0.649998
780,0.649998
