# car_paint_silver reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.48
385,0.479375
390,0.47875
395,0.478125
400,0.4775
405,0.476875
410,0.47625
415,0.475625
420,0.475
425,0.474375
430,0.47375
435,0.473125
440,0.4725
445,0.471875
450,0.47125
455,0.470625
460,0.47
465,0.469375
470,0.46875
475,0.468125
480,0.4675
485,0.466875
490,0.46625
495,0.465625
500,0.465
505,0.464375
510,0.46375
515,0.463125
520,0.4625
525,0.461875
530,0.46125
535,0.460625
540,0.46
545,0.459375
550,0.45875
555,0.458125
560,0.4575
565,0.456875
570,0.45625
575,0.455625
580,0.455
585,0.454375
590,0.45375
595,0.453125
600,0.4525
605,0.451875
610,0.45125
615,0.450625
620,0.45
625,0.449375
630,0.44875
635,0.448125
640,0.4475
645,0.446875
650,0.44625
655,0.445625
660,0.445
665,0.444375
670,0.44375
675,0.443125
680,0.4425
685,0.441875
690,0.44125
695,0.440625
700,0.44
705,0.439375
710,0.43875
715,0.438125
720,0.4375
725,0.436875
730,0.43625
735,0.435625
740,0.435
745,0.434375
750,0.43375
755,0.433125
760,0.4325
765,0.431875
770,0.43125
775,0.430625
780,0.43
