# car_paint_white reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.564634
385,0.568965
390,0.574443
395,0.58129
400,0.589717
405,0.599896
410,0.611916
415,0.625735
420,0.641144
425,0.65775
430,0.675
435,0.69225
440,0.708856
445,0.724265
450,0.738084
455,0.750104
460,0.760283
465,0.76871
470,0.775557
475,0.781035
480,0.785366
485,0.788755
490,0.791389
495,0.793422
500,0.794986
505,0.796183
510,0.797098
515,0.797796
520,0.798327
525,0.798731
530,0.799037
535,0.79927
540,0.799447
545,0.799581
550,0.799682
555,0.799759
560,0.799818
565,0.799862
570,0.799895
575,0.799921
580,0.79994
585,0.799954
590,0.799966
595,0.799974
600,0.79998
605,0.799985
610,0.799989
615,0.799991
620,0.799993
625,0.799995
630,0.799996
635,0.799997
640,0.799998
645,0.799998
650,0.799999
655,0.799999
660,0.799999
665,0.799999
670,0.8
675,0.8
680,0.8
685,0.8
690,0.8
695,0.8
700,0.8
705,0.8
710,0.8
715,0.8
720,0.8
725,0.8
730,0.8
735,0.8
740,0.8
745,0.8
750,0.8
755,0.8
760,0.8
765,0.8
770,0.8
775,0.8
780,0.8
