# grass_green reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.05
385,0.0500001
390,0.0500002
395,0.0500005
400,0.050001
405,0.0500021
410,0.0500042
415,0.0500084
420,0.0500162
425,0.0500304
430,0.0500558
435,0.0501001
440,0.050175
445,0.0502987
450,0.0504976
455,0.0508088
460,0.051283
465,0.0519862
470,0.0530006
475,0.0544238
480,0.0563648
485,0.0589364
490,0.0622445
495,0.0663725
500,0.0713642
505,0.0772054
510,0.0838081
515,0.0909999
520,0.0985225
525,0.10604
530,0.113162
535,0.119471
540,0.124568
545,0.128109
550,0.129844
555,0.12965
560,0.12754
565,0.123665
570,0.118296
575,0.111792
580,0.10456
585,0.0970142
590,0.0895365
595,0.0824484
600,0.0759893
605,0.0703087
610,0.0654645
615,0.0614278
620,0.0580899
625,0.0552721
630,0.0527435
635,0.0502566
640,0.0476072
645,0.0447167
650,0.0417161
655,0.0389943
660,0.0371759
665,0.0370206
670,0.0392802
675,0.0445845
680,0.0534212
685,0.0662245
690,0.0835101
695,0.105928
700,0.134095
705,0.168157
710,0.207233
715,0.249121
720,0.290652
725,0.328636
730,0.360843
735,0.386423
740,0.405699
745,0.419653
750,0.429465
755,0.436222
760,0.440809
765,0.443893
770,0.445953
775,0.447323
780,0.448231
