# road_paint_white reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.275668
385,0.287929
390,0.305364
395,0.329435
400,0.36135
405,0.40147
410,0.448657
415,0.5
420,0.551343
425,0.59853
430,0.63865
435,0.670565
440,0.694636
445,0.712071
450,0.724332
455,0.732777
460,0.738511
465,0.742366
470,0.744941
475,0.746654
480,0.747789
485,0.74854
490,0.749037
495,0.749364
500,0.749581
505,0.749724
510,0.749818
515,0.74988
520,0.749921
525,0.749948
530,0.749966
535,0.749977
540,0.749985
545,0.74999
550,0.749993
555,0.749996
560,0.749997
565,0.749998
570,0.749999
575,0.749999
580,0.749999
585,0.75
590,0.75
595,0.75
600,0.75
605,0.75
610,0.75
615,0.75
620,0.75
625,0.75
630,0.75
635,0.75
640,0.75
645,0.75
650,0.75
655,0.75
660,0.75
665,0.75
670,0.75
675,0.75
680,0.75
685,0.75
690,0.75
695,0.75
700,0.75
705,0.75
710,0.75
715,0.75
720,0.75
725,0.75
730,0.75
735,0.75
740,0.75
745,0.75
750,0.75
755,0.75
760,0.75
765,0.75
770,0.75
775,0.75
780,0.75
