# road_paint_yellow reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0602386
385,0.0603261
390,0.0604457
395,0.060609
400,0.0608321
405,0.0611368
410,0.0615527
415,0.0621202
420,0.0628942
425,0.0639488
430,0.0653841
435,0.0673347
440,0.0699798
445,0.0735566
450,0.0783749
455,0.0848318
460,0.0934249
465,0.104756
470,0.119518
475,0.138449
480,0.16224
485,0.191393
490,0.226029
495,0.265701
500,0.309278
505,0.355
510,0.400722
515,0.444299
520,0.483971
525,0.518607
530,0.54776
535,0.571551
540,0.590482
545,0.605244
550,0.616575
555,0.625168
560,0.631625
565,0.636443
570,0.64002
575,0.642665
580,0.644616
585,0.646051
590,0.647106
595,0.64788
600,0.648447
605,0.648863
610,0.649168
615,0.649391
620,0.649554
625,0.649674
630,0.649761
635,0.649825
640,0.649872
645,0.649907
650,0.649932
655,0.64995
660,0.649963
665,0.649973
670,0.64998
675,0.649986
680,0.64999
685,0.649992
690,0.649994
695,0.649996
700,0.649997
705,0.649998
710,0.649998
715,0.649999
720,0.649999
725,0.649999
730,0.65
735,0.65
740,0.65
745,0.65
750,0.65
755,0.65
760,0.65
765,0.65
770,0.65
775,0.65
780,0.65
