# rubber_tire reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.035
385,0.035125
390,0.03525
395,0.035375
400,0.0355
405,0.035625
410,0.03575
415,0.035875
420,0.036
425,0.036125
430,0.03625
435,0.036375
440,0.0365
445,0.036625
450,0.03675
455,0.036875
460,0.037
465,0.037125
470,0.03725
475,0.037375
480,0.0375
485,0.037625
490,0.03775
495,0.037875
500,0.038
505,0.038125
510,0.03825
515,0.038375
520,0.0385
525,0.038625
530,0.03875
535,0.038875
540,0.039
545,0.039125
550,0.03925
555,0.039375
560,0.0395
565,0.039625
570,0.03975
575,0.039875
580,0.04
585,0.040125
590,0.04025
595,0.040375
600,0.0405
605,0.040625
610,0.04075
615,0.040875
620,0.041
625,0.041125
630,0.04125
635,0.041375
640,0.0415
645,0.041625
650,0.04175
655,0.041875
660,0.042
665,0.042125
670,0.04225
675,0.042375
680,0.0425
685,0.042625
690,0.04275
695,0.042875
700,0.043
705,0.043125
710,0.04325
715,0.043375
720,0.0435
725,0.043625
730,0.04375
735,0.043875
740,0.044
745,0.044125
750,0.04425
755,0.044375
760,0.0445
765,0.044625
770,0.04475
775,0.044875
780,0.045
