# sign_sheeting_blue reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0693479
385,0.0802676
390,0.0941341
395,0.111306
400,0.132027
405,0.15637
410,0.184179
415,0.215026
420,0.24818
425,0.282612
430,0.317028
435,0.349935
440,0.379746
445,0.404902
450,0.424002
455,0.435939
460,0.44
465,0.435939
470,0.424002
475,0.404902
480,0.379746
485,0.349935
490,0.317028
495,0.282612
500,0.24818
505,0.215026
510,0.184179
515,0.15637
520,0.132027
525,0.111306
530,0.0941341
535,0.0802676
540,0.0693479
545,0.0609573
550,0.0546632
555,0.0500522
560,0.046752
565,0.0444436
570,0.0428653
575,0.0418103
580,0.0411207
585,0.0406797
590,0.0404039
595,0.0402352
600,0.0401342
605,0.040075
610,0.0400411
615,0.040022
620,0.0400116
625,0.040006
630,0.040003
635,0.0400015
640,0.0400007
645,0.0400003
650,0.0400002
655,0.0400001
660,0.04
665,0.04
670,0.04
675,0.04
680,0.04
685,0.04
690,0.04
695,0.04
700,0.04
705,0.04
710,0.04
715,0.04
720,0.04
725,0.04
730,0.04
735,0.04
740,0.04
745,0.04
750,0.04
755,0.04
760,0.04
765,0.04
770,0.04
775,0.04
780,0.04
