# sign_sheeting_green reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.0402917
385,0.0404624
390,0.0407219
395,0.0411094
400,0.0416784
405,0.0425
410,0.043666
415,0.0452924
420,0.0475221
425,0.0505253
430,0.0544992
435,0.0596638
440,0.0662546
445,0.0745111
450,0.0846606
455,0.0968991
460,0.111368
465,0.128127
470,0.147135
475,0.168224
480,0.191085
485,0.215262
490,0.240155
495,0.26504
500,0.289097
505,0.311451
510,0.331224
515,0.347594
520,0.359847
525,0.367432
530,0.37
535,0.367432
540,0.359847
545,0.347594
550,0.331224
555,0.311451
560,0.289097
565,0.26504
570,0.240155
575,0.215262
580,0.191085
585,0.168224
590,0.147135
595,0.128127
600,0.111368
605,0.0968991
610,0.0846606
615,0.0745111
620,0.0662546
625,0.0596638
630,0.0544992
635,0.0505253
640,0.0475221
645,0.0452924
650,0.043666
655,0.0425
660,0.0416784
665,0.0411094
670,0.0407219
675,0.0404624
680,0.0402917
685,0.0401811
690,0.0401107
695,0.0400666
700,0.0400395
705,0.040023
710,0.0400132
715,0.0400075
720,0.0400042
725,0.0400023
730,0.0400012
735,0.0400007
740,0.0400003
745,0.0400002
750,0.0400001
755,0.04
760,0.04
765,0.04
770,0.04
775,0.04
780,0.04
