# sign_sheeting_red reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.05
385,0.05
390,0.05
395,0.05
400,0.05
405,0.0500001
410,0.0500001
415,0.0500001
420,0.0500002
425,0.0500003
430,0.0500005
435,0.0500007
440,0.0500011
445,0.0500016
450,0.0500024
455,0.0500037
460,0.0500056
465,0.0500085
470,0.0500128
475,0.0500195
480,0.0500295
485,0.0500448
490,0.0500679
495,0.050103
500,0.0501562
505,0.0502369
510,0.0503593
515,0.0505449
520,0.0508262
525,0.0512524
530,0.0518978
535,0.0528745
540,0.0543504
545,0.0565763
550,0.0599237
555,0.0649353
560,0.0723894
565,0.0833683
570,0.0993078
575,0.121973
580,0.153265
585,0.194755
590,0.246911
595,0.308255
600,0.375
605,0.441745
610,0.503089
615,0.555245
620,0.596735
625,0.628027
630,0.650692
635,0.666632
640,0.677611
645,0.685065
650,0.690076
655,0.693424
660,0.69565
665,0.697126
670,0.698102
675,0.698748
680,0.699174
685,0.699455
690,0.699641
695,0.699763
700,0.699844
705,0.699897
710,0.699932
715,0.699955
720,0.69997
725,0.699981
730,0.699987
735,0.699992
740,0.699994
745,0.699996
750,0.699998
755,0.699998
760,0.699999
765,0.699999
770,0.7
775,0.7
780,0.7
