# sign_sheeting_white reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.803248
385,0.80442
390,0.80596
395,0.807943
400,0.81043
405,0.813447
410,0.816962
415,0.820871
420,0.825
425,0.829129
430,0.833038
435,0.836553
440,0.83957
445,0.842057
450,0.84404
455,0.84558
460,0.846752
465,0.847629
470,0.848278
475,0.848754
480,0.849101
485,0.849352
490,0.849534
495,0.849665
500,0.84976
505,0.849828
510,0.849876
515,0.849911
520,0.849936
525,0.849954
530,0.849967
535,0.849977
540,0.849983
545,0.849988
550,0.849991
555,0.849994
560,0.849996
565,0.849997
570,0.849998
575,0.849998
580,0.849999
585,0.849999
590,0.849999
595,0.85
600,0.85
605,0.85
610,0.85
615,0.85
620,0.85
625,0.85
630,0.85
635,0.85
640,0.85
645,0.85
650,0.85
655,0.85
660,0.85
665,0.85
670,0.85
675,0.85
680,0.85
685,0.85
690,0.85
695,0.85
700,0.85
705,0.85
710,0.85
715,0.85
720,0.85
725,0.85
730,0.85
735,0.85
740,0.85
745,0.85
750,0.85
755,0.85
760,0.85
765,0.85
770,0.85
775,0.85
780,0.85
