# soil_dry reflectance (analytic approximation), open-cam highway
# wavelength_nm,value
380,0.08
385,0.08275
390,0.0855
395,0.08825
400,0.091
405,0.09375
410,0.0965
415,0.09925
420,0.102
425,0.10475
430,0.1075
435,0.11025
440,0.113
445,0.11575
450,0.1185
455,0.12125
460,0.124
465,0.12675
470,0.1295
475,0.13225
480,0.135
485,0.13775
490,0.1405
495,0.14325
500,0.146
505,0.14875
510,0.1515
515,0.15425
520,0.157
525,0.15975
530,0.1625
535,0.16525
540,0.168
545,0.17075
550,0.1735
555,0.17625
560,0.179
565,0.18175
570,0.1845
575,0.18725
580,0.19
585,0.19275
590,0.1955
595,0.19825
600,0.201
605,0.20375
610,0.2065
615,0.20925
620,0.212
625,0.21475
630,0.2175
635,0.22025
640,0.223
645,0.22575
650,0.2285
655,0.23125
660,0.234
665,0.23675
670,0.2395
675,0.24225
680,0.245
685,0.24775
690,0.2505
695,0.25325
700,0.256
705,0.25875
710,0.2615
715,0.26425
720,0.267
725,0.26975
730,0.2725
735,0.27525
740,0.278
745,0.28075
750,0.2835
755,0.28625
760,0.289
765,0.29175
770,0.2945
775,0.29725
780,0.3
